"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"383","Robby Fabbri","DET","C,LW,F","352","352","352.0","0.0","",""
"384","Damon Severson","NJ","D","353","353","353.0","0.0","202","-182"
"385","Zach Sanford","STL","C","354","354","354.0","0.0","",""
"386","Jack Studnicka","BOS","C","355","355","355.0","0.0","",""
"387","Filip Chytil","NYR","LW","356","356","356.0","0.0","",""
"388","Tyler Ennis","EDM","C,LW,F","359","359","359.0","0.0","",""
"389","Joonas Donskoi","COL","RW,F","360","360","360.0","0.0","",""
"390","Ilya Mikheyev","TOR","RW","361","361","361.0","0.0","",""
"391","Troy Terry","ANA","RW","362","362","362.0","0.0","",""
"392","Lucas Raymond","DET","LW","364","364","364.0","0.0","",""
"393","Jordan Kyrou","STL","C","365","365","365.0","0.0","",""
"394","Alex Formenton","FA","LW","366","366","366.0","0.0","",""
"395","Moritz Seider","FA","D","367","367","367.0","0.0","",""
"396","Martin Frk","LA","RW,F","368","368","368.0","0.0","",""
"397","Nick Foligno","CBJ","LW,RW,F","369","369","369.0","0.0","",""
"398","Sami Vatanen","CAR","D","371","371","371.0","0.0","",""
"399","Luke Kunin","MIN","C","373","373","373.0","0.0","",""
"400","Nolan Patrick","PHI","C","375","375","375.0","0.0","",""
"401","Eeli Tolvanen","NSH","LW","377","377","377.0","0.0","",""
"402","Jack Quinn","BUF","C","378","378","378.0","0.0","",""
"403","Danton Heinen","ANA","C,LW,F","379","379","379.0","0.0","",""
"404","Oskar Lindblom","PHI","RW","380","380","380.0","0.0","",""
"405","Erik Johnson","COL","D","381","381","381.0","0.0","",""
"406","Connor Brown","OTT","RW,F","382","382","382.0","0.0","",""
"407","Will Butcher","NJ","D","383","383","383.0","0.0","",""
"408","Victor Soderstrom","ARI","D","384","384","384.0","0.0","",""
"409","Vladislav Namestnikov","COL","C,F","386","386","386.0","0.0","",""
"410","Nicolas Aube-Kubel","PHI","RW,F","387","387","387.0","0.0","",""
"411","Collin Delia","CHI","G","388","388","388.0","0.0","",""
"412","Phillip Tomasino","FA","C","389","389","389.0","0.0","",""
"413","Curtis McElhinney","TB","G","393","393","393.0","0.0","",""
"414","Corey Perry","DAL","RW,F","398","398","398.0","0.0","",""
"415","Thomas Harley","DAL","D","399","399","399.0","0.0","",""
""
""
