"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"84","Brady Tkachuk","OTT","LW","52","149","92.2","34.8","60","-24"
"85","Rasmus Dahlin","BUF","D","70","114","92.6","14.1","69","-16"
"86","Bo Horvat","VAN","C,F","75","108","94.0","11.6","99","+13"
"87","Jonathan Toews","CHI","C,F","29","157","94.8","45.8","156","+69"
"88","Timo Meier","SJ","LW,RW","67","121","97.6","17.8","97","+9"
"89","Anton Khudobin","DAL","G","77","115","97.8","16.2","57","-32"
"90","Semyon Varlamov","NYI","G","74","151","98.0","27.3","180","+90"
"91","Tom Wilson","WSH","RW,F","74","115","98.0","16.0","92","+1"
"92","Tristan Jarry","PIT","G","84","117","98.2","11.4","62","-30"
"93","Dylan Larkin","DET","C","63","145","98.4","27.0","109","+16"
"94","John Klingberg","DAL","D","77","138","101.6","23.1","135","+41"
"95","Mark Giordano","CGY","D","69","124","102.6","21.5","68","-27"
"96","Tony DeAngelo","NYR","D","80","128","102.8","15.9","112","+16"
"97","Evander Kane","SJ","LW,F","87","130","103.0","14.7","78","-19"
"98","Anze Kopitar","LA","C,F","70","129","103.4","20.9","87","-11"
"99","Sergei Bobrovsky","FLA","G","56","135","104.6","29.7","122","+23"
"100","Jonathan Marchessault","VGK","C, LW","76","140","107.4","22.1","116","+16"
"101","Pierre-Luc Dubois","CBJ","C","74","143","109.2","23.5","83","-18"
"102","Neal Pionk","WPG","D","75","141","109.2","24.4","75","-27"
"103","David Perron","STL","LW,RW,F","80","144","109.4","22.1","136","+33"
"104","Matt Duchene","NSH","C,F","59","202","109.6","49.2","177","+73"
"105","Max Domi","MTL","C,LW","57","146","111.8","32.7","200","+95"
"106","Shea Weber","MTL","D","78","179","112.4","36.1","101","-5"
"107","Cam Atkinson","CBJ","RW,F","81","129","112.4","18.9","191","+84"
"108","Brendan Gallagher","MTL","RW,F","86","136","112.8","19.9","90","-18"
"109","Mike Hoffman","FLA","LW,RW","72","143","114.4","26.5","72","-37"
"110","Nazem Kadri","COL","C,F","72","174","116.8","39.8","164","+54"
"111","Brayden Schenn","STL","C,LW,F","73","163","117.2","31.9","82","-29"
"112","Joonas Korpisalo","CBJ","G","71","172","117.8","32.1","162","+50"
"113","Kevin Fiala","MIN","LW,F","68","276","118.0","79.3","146","+33"
"114","T.J. Oshie","WSH","RW,F","73","172","118.4","38.0","111","-3"
"115","Chris Kreider","NYR","LW,F","90","140","120.4","21.7","105","-10"
"116","Evgenii Dadonov","FLA","LW,RW","79","160","122.0","32.1","155","+39"
"117","Jamie Benn","DAL","C,LW","79","178","122.8","32.1","79","-38"
"118","Darcy Kuemper","ARI","G","94","148","123.4","24.1","120","+2"
"119","Elivs Merzlikins","CBJ","G","100","153","124.4","17.8","137","+18"
"120","Keith Yandle","FLA","D","102","156","125.0","18.7","138","+18"
"121","Jakub Voracek","PHI","LW,RW,F","78","195","125.2","44.0","198","+77"
"122","Sam Reinhart","BUF","C,RW,F","90","162","127.0","24.4","148","+26"
"123","Petr Mrazek","CAR","G","71","185","129.4","40.6","129","+6"
"124","Kyle Palmieri","NJ","RW,F","102","166","131.6","26.8","130","+6"
"125","Paul Stastny","VGK","C,F","61","224","136.2","56.7","",""
"126","Thomas Chabot","OTT","D","112","150","137.2","13.4","86","-40"
"127","Jeff Skinner","BUF","C,LW","77","214","141.0","49.4","",""
"128","Anthony Mantha","DET","LW,RW","112","169","142.8","20.6","151","+23"
"129","William Nylander","TOR","C,RW,F","79","133","105.3","19.5","81","-48"
"130","Tyler Seguin","DAL","C,F","31","328","114.3","124.2","203","+73"
"131","Matt Murray","PIT","G","93","188","147.2","42.2","",""
"132","Reilly Smith","VGK","RW,F","108","177","151.4","23.4","147","+15"
"133","Zach Parise","MIN","LW,F","92","211","151.6","40.5","145","+12"
"134","William Karlsson","VGK","C","127","190","152.8","20.9","158","+24"
"135","Nico Hischier","NJ","C","123","200","153.4","25.6","186","+51"
"136","Travis Konecny","PHI","RW","92","237","154.4","48.5","58","-78"
"137","Ivan Provorov","PHI","D","96","154","119.0","21.9","67","-70"
"138","Vladimir Tarasenko","STL","RW,F","41","345","131.8","123.7","163","+25"
"139","Rasmus Ristolainen","BUF","D","87","190","156.8","39.9","131","-8"
"140","Phil Kessel","ARI","RW,F","72","176","121.0","37.0","228","+88"
"141","David Krejci","BOS","C,F","111","181","157.8","24.4","",""
"142","Joe Pavelski","DAL","C,RW,F","80","241","159.8","54.1","169","+27"
"143","Drew Doughty","LA","D","131","197","160.8","26.4","117","-26"
"144","Pavel Francouz","COL","G","90","178","126.5","32.0","143","-1"
"145","Charlie McAvoy","BOS","D","105","163","132.8","24.0","88","-57"
"146","Dustin Byfuglien","FA","D","48","390","160.3","134.7","",""
"147","Viktor Arvidsson","NSH","LW,RW","90","233","138.0","57.4","187","+40"
"148","Kevin Hayes","PHI","C","124","190","172.6","24.8","",""
"149","Ryan Getzlaf","ANA","C,F","125","215","173.4","31.0","",""
"150","Jeff Petry","MTL","D","97","201","142.3","37.5","74","-76"
"151","John Gibson","ANA","G","135","231","174.6","34.4","184","+33"
"152","Tomas Tatar","MTL","LW,RW","121","239","175.6","38.1","152","+0"
"153","Andrew Shaw","CHI","C,RW,F","82","245","146.0","60.3","",""
"154","Adam Fox","NYR","D","105","206","146.8","36.8","103","-51"
"155","Ryan Johansen","NSH","C,F","100","193","147.0","33.0","",""
"156","Pavel Buchnevich","NYR","LW,F","139","207","178.0","23.7","",""
"157","Mathew Dumba","MIN","D","149","214","178.8","21.9","166","+9"
"158","Jaroslav Halak","BOS","G","119","176","149.0","22.7","161","+3"
"159","Alex Galchenyuk","MIN","C,LW","86","250","149.8","60.8","",""
"160","Jakub Vrana","WSH","LW,RW,F","88","266","150.3","69.3","128","-32"
"161","Josh Anderson","CBJ","RW,F","121","226","180.4","34.3","230","+69"
"162","Oliver Ekman-Larsson","ARI","D","155","202","180.6","16.3","124","-38"
"163","Juuse Saros","NSH","G","116","181","150.8","25.7","107","-56"
"164","Eric Staal","MIN","C,F","142","225","181.8","33.6","",""
"165","Brock Nelson","NYI","C,LW","141","223","182.0","30.9","194","+29"
"166","Clayton Keller","ARI","LW,RW","147","217","183.6","23.2","",""
"167","Anders Lee","NYI","LW","122","188","155.3","27.9","106","-61"
"168","Jack Hughes","NJ","C","113","203","157.8","33.7","183","+15"
"169","Rickard Rakell","ANA","LW, RW","156","232","186.4","28.3","",""
"170","James Van Riemsdyk","PHI","LW,F","105","219","159.0","40.5","231","+61"
"171","Brandon Pirri","FA","C,F","101","249","162.5","53.9","",""
"172","Andre Burakovsky","COL","LW,F","83","287","163.5","75.7","",""
"173","Thatcher Demko","VAN","G","134","205","163.8","29.7","188","+15"
"174","Josh Bailey","NYI","RW,F","148","219","191.6","24.5","",""
"175","Devan Dubnyk","MIN","G","169","226","192.4","20.5","",""
"176","Alexis Lafreniere","NYR","LW","91","143","120.3","21.7","132","-44"
"177","Kirill Kaprizov","MIN","LW","99","158","121.3","26.1","172","-5"
"178","Jaden Schwartz","STL","LW,F","128","199","166.3","31.2","170","-8"
"179","Victor Olofsson","BUF","RW","103","162","123.3","27.4","125","-54"
"180","Mikhail Sergachev","TB","D","149","223","168.0","31.8","118","-62"
"181","Nikita Kucherov","TB","RW","4","74","39.0","35.0","89","-92"
"182","Ilya Sorokin","NYI","G","139","209","170.0","28.8","232","+50"
"183","Dominik Kubalik","CHI","LW","120","140","127.3","9.0","150","-33"
"184","Jake Muzzin","TOR","D","160","230","197.4","22.8","140","-44"
"185","Alexander Edler","VAN","D","129","251","197.6","41.7","119","-66"
"186","Dylan Strome","CHI","C,F","126","197","172.0","27.6","",""
"187","Mikael Granlund","NSH","LW,RW","118","234","173.8","41.1","196","+9"
"188","Ryan Ellis","NSH","D","147","220","173.8","29.8","100","-88"
"189","Jake DeBrusk","BOS","LW,RW","157","234","199.6","28.6","220","+31"
"190","Andreas Athanasiou","EDM","C,LW","110","264","174.5","55.9","",""
"191","Colton Parayko","STL","D","150","225","175.0","29.5","114","-77"
"192","Kailer Yamamoto","EDM","C","108","167","133.3","24.8","95","-97"
"193","Bryan Rust","PIT","LW,RW","107","165","134.0","23.8","126","-67"
"194","Nikolaj Ehlers","WPG","LW,RW,F","115","223","177.5","40.7","168","-26"
"195","Henrik Lundqvist","NYR","G","96","166","136.7","29.7","",""
"196","Alex Tuch","VGK","RW","156","238","202.4","31.4","",""
"197","Jonathan Drouin","MTL","LW,F","151","230","203.0","27.9","",""
"198","Mats Zuccarello","MIN","RW,F","123","243","180.3","42.8","",""
"199","Kaapo Kakko","NYR","RW","139","208","180.3","25.4","215","+16"
"200","Jacob Trouba","NYR","D","167","204","180.8","14.4","104","-96"
"201","Vincent Trocheck","CAR","C,F","130","207","182.5","30.7","",""
"202","Ondrej Palat","TB","LW,F","118","296","182.8","69.1","201","-1"
"203","Darnell Nurse","EDM","D","161","211","183.5","21.5","96","-107"
"204","Pekka Rinne","NSH","G","63","363","200.5","126.5","204","+0"
"205","David Rittich","CGY","G","38","392","177.3","154.0","218","+13"
"206","Ryan Pulock","NYI","D","135","253","185.5","42.7","76","-130"
"207","Dustin Brown","LA","LW,RW,F","152","243","210.2","31.1","",""
"208","Ryan Suter","MIN","D","158","236","187.5","32.1","121","-87"
"209","Denis Gurianov","DAL","RW","117","174","150.7","24.4","",""
"210","Nikita Gusev","NJ","LW","160","239","189.0","30.7","",""
"211","Nino Niederreiter","CAR","LW,RW","134","238","189.3","37.3","",""
"212","Martin Jones","SJ","G","44","372","176.3","141.2","",""
"213","Ryan Dzingel","CAR","LW,RW","128","263","190.0","48.3","",""
"214","Erik Gustafsson","FA","D","120","309","192.3","70.7","",""
"215","Nick Suzuki","MTL","C","129","197","158.0","28.6","210","-5"
"216","Cam Talbot","CGY","G","153","256","194.3","38.5","",""
"217","Patric Hornqvist","PIT","RW,F","147","236","194.5","34.2","174","-43"
"218","Corey Crawford","CHI","G","103","278","196.5","70.0","",""
"219","Oliver Bjorkstrand","CBJ","RW,F","130","199","161.7","28.5","141","-78"
"220","Ben Bishop","DAL","G","89","338","175.0","115.3","159","-61"
"221","Jordan Staal","CAR","C,LW,F","132","277","197.8","51.9","",""
"222","Aaron Ekblad","FLA","D","164","244","199.0","34.5","123","-99"
"223","Ryan Strome","NYR","RW,F","132","203","166.0","29.1","157","-66"
"224","Jason Zucker","PIT","LW,RW","149","229","199.8","31.2","217","-7"
"225","Andreas Johnsson","TOR","LW","163","241","201.5","34.0","",""
