Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
724,Andrej Sekera\sekeran01,30,EDM,D,80,1265,1274,49.8,-0.4,910,859,51.4,0.5,8.0,93.3,101.3,50.9,49.1,21:27,17:11,38,95,7.7,319,40.1
725,Mikhail Sergachev\sergami01,18,MTL,D,4,39,50,43.8,-9.7,29,41,41.4,-12.8,15.8,94.1,109.9,63.0,37.0,12:08,11:47,1,3,-2.0,4,50.0
726,Tom Sestito\sestito01,29,PIT,LW,13,38,61,38.4,-10.9,27,45,37.5,-12.7,16.7,90.9,107.6,42.0,58.0,5:32,5:30,0,2,-1.5,6,50.0
727,Devin Setoguchi\setogde01,30,LAK,RW,45,586,459,56.1,1.8,409,325,55.7,1.4,6.1,90.1,96.3,59.1,40.9,12:27,11:52,15,19,5.5,110,54.5
728,Damon Severson\severda01,22,NJD,D,80,1243,1243,50.0,4.3,955,977,49.4,3.1,5.6,91.4,97.0,54.6,45.4,20:19,17:46,24,52,-5.4,276,44.9
729,Michael Sgarbossa\sgarbmi01,24,TOT,C,38,314,322,49.4,0.5,260,244,51.6,3.3,5.2,91.8,97.1,49.4,50.6,11:09,10:22,6,14,1.2,55,60.0
730,Patrick Sharp\sharppa01,35,DAL,LW,48,654,617,51.5,1.3,483,436,52.6,2.6,5.5,87.1,92.6,43.5,56.5,15:57,13:35,16,21,-0.6,261,55.9
731,Kevin Shattenkirk\shattke01,28,TOT,D,80,1175,1046,52.9,2.6,891,761,53.9,3.7,8.7,89.5,98.2,59.2,40.8,19:56,16:26,36,40,5.8,320,50.6
732,Andrew Shaw\shawan01,25,MTL,C,68,930,759,55.1,3.9,659,550,54.5,3.3,7.9,92.0,99.9,48.6,51.4,15:12,12:60,28,29,3.7,221,57.5
733,Logan Shaw\shawlo01,25,ANA,RW,55,333,413,44.6,-6.4,259,315,45.1,-6.5,8.3,93.0,101.3,54.8,45.2,9:42,8:06,10,7,-2.5,91,64.8
734,Riley Sheahan\sheahri01,25,DET,C,80,774,900,46.2,-2.9,598,682,46.7,-2.3,5.4,90.0,95.5,47.0,53.0,13:59,11:60,20,22,-3.4,197,55.3
735,Conor Sheary\shearco01,24,PIT,LW,61,930,840,52.5,4.0,709,634,52.8,2.8,11.2,93.2,104.4,63.0,37.0,15:56,14:08,26,25,8.2,246,63.4
736,Hunter Shinkaruk\shinkhu01,22,CGY,LW,7,55,72,43.3,-12.7,42,58,42.0,-12.9,3.2,88.6,91.8,31.3,68.8,10:35,10:32,2,1,-1.4,11,45.5
737,Devin Shore\shorede01,22,DAL,C,82,912,982,48.2,-2.7,670,691,49.2,-1.9,7.8,92.4,100.2,48.2,51.8,14:08,12:08,26,25,0.1,213,54.0
738,Drew Shore\shoredr01,26,VAN,C,14,119,146,44.9,-4.3,89,115,43.6,-4.0,5.2,92.8,97.9,46.5,53.5,11:58,11:04,4,5,-2.9,18,61.1
739,Nick Shore\shoreni01,24,LAK,C,70,734,628,53.9,-0.7,537,483,52.6,-2.1,6.8,91.0,97.8,57.2,42.8,12:47,11:12,11,19,2.1,163,48.5
740,Duncan Siemens\siemedu01,23,COL,D,3,28,32,46.7,-6.7,19,26,42.2,-8.9,0.0,88.2,88.2,37.5,62.5,12:19,11:14,0,2,-0.6,4,50.0
741,Jakob Silfverberg\silfvja01,26,ANA,RW,79,1150,1103,51.0,2.2,880,827,51.6,2.5,8.4,93.1,101.5,37.4,62.6,18:29,14:52,46,38,6.5,383,59.3
742,Wayne Simmonds\simmowa01,28,PHI,RW,82,1141,1130,50.2,-1.3,813,789,50.7,-1.2,8.1,88.9,97.0,59.9,40.1,18:57,13:44,38,39,2.1,397,56.4
743,Dominik Simon\simondo01,22,PIT,C,2,21,26,44.7,-2.5,16,22,42.1,-3.7,12.5,86.7,99.2,53.8,46.2,13:03,12:34,1,1,-0.5,5,40.0
744,Dillon Simpson\simpsdi01,23,EDM,D,3,25,27,48.1,-3.0,16,19,45.7,-3.4,7.7,91.7,99.4,68.4,31.6,10:53,10:53,0,1,0.0,5,40.0
745,Colton Sissons\sissoco01,23,NSH,C,58,447,578,43.6,-8.1,329,414,44.3,-6.7,9.0,95.5,104.5,28.5,71.5,11:07,10:09,12,11,-3.4,73,57.5
746,Jack Skille\skillja01,29,VAN,RW,55,412,432,48.8,1.3,310,323,49.0,2.7,5.9,94.6,100.5,46.5,53.5,8:48,8:44,14,9,-2.5,121,60.3
747,Jeff Skinner\skinnje01,24,CAR,LW,79,1248,1181,51.4,0.3,908,899,50.2,-0.2,10.0,89.6,99.6,63.2,36.8,17:44,15:19,65,65,4.7,489,57.3
748,Brady Skjei\skjeibr01,22,NYR,D,80,1125,1098,50.6,3.9,852,819,51.0,3.0,10.8,91.3,102.1,58.8,41.2,17:28,15:43,17,51,-2.0,230,55.2
749,Jaccob Slavin\slavija01,22,CAR,D,82,1509,1348,52.8,2.5,1102,999,52.5,3.2,9.3,91.7,101.0,47.4,52.6,23:26,19:18,83,54,11.5,232,43.1
750,Anton Slepyshev\slepyan01,22,EDM,LW,41,375,442,45.9,-3.1,266,332,44.5,-6.7,6.2,97.0,103.2,50.4,49.6,11:07,11:01,19,14,-3.2,110,50.0
751,Ben Smith\smithbe01,28,TOT,RW,40,282,397,41.5,-11.6,211,289,42.2,-10.4,6.1,92.3,98.4,24.6,75.4,11:28,9:17,9,5,-1.9,56,53.6
752,Brendan Smith\smithbr05,27,TOT,D,51,727,735,49.7,2.3,557,561,49.8,2.3,8.0,92.6,100.6,48.4,51.6,19:15,16:21,11,37,-1.7,143,43.4
753,C.J. Smith\smithcj01,22,BUF,LW,2,22,32,40.7,-9.6,18,25,41.9,-8.6,18.2,83.3,101.5,45.5,54.5,11:32,11:14,2,2,-0.3,4,50.0
754,Craig Smith\smithcr01,27,NSH,RW,78,1057,887,54.4,4.4,752,689,52.2,2.1,7.7,93.6,101.2,60.5,39.5,13:49,12:38,34,35,1.3,316,48.7
755,Gemel Smith\smithge02,22,DAL,C,17,198,211,48.4,0.4,151,143,51.4,2.8,6.4,92.2,98.5,36.1,63.9,13:35,12:16,4,6,-0.7,32,59.4
756,Reilly Smith\smithre01,25,FLA,RW,80,1093,1011,51.9,2.0,798,783,50.5,0.6,7.2,91.2,98.3,48.5,51.5,18:21,14:14,49,39,-3.2,286,55.6
757,Trevor Smith\smithtr01,31,NSH,C,1,0,11,0.0,-47.8,0,6,0.0,-44.8,,100.0,,57.1,42.9,7:20,7:20,0,0,-0.6,0,
758,Zack Smith\smithza01,28,OTT,C,74,952,948,50.1,2.9,679,679,50.0,2.2,7.0,92.6,99.6,49.0,51.0,16:23,12:59,31,35,2.6,245,55.9
759,Devante Smith-Pelly\smithde06,24,NJD,RW,53,400,597,40.1,-8.6,315,448,41.3,-7.2,4.0,91.5,95.4,41.7,58.3,13:34,11:05,17,14,-7.3,109,67.9
760,Vladimir Sobotka\sobotvl01,29,STL,LW,1,13,10,56.5,22.2,10,9,52.6,18.0,12.5,83.3,95.8,83.3,16.7,16:41,10:31,1,0,-0.2,4,50.0
761,Carl Soderberg\soderca01,31,COL,C,80,774,892,46.5,-3.2,569,663,46.2,-2.4,5.9,90.2,96.1,47.0,53.0,13:27,11:39,30,19,-10.5,210,60.0
762,Marcus Sorensen\sorenma01,24,SJS,RW,19,184,176,51.1,0.1,137,122,52.9,1.2,5.3,93.2,98.4,50.9,49.1,10:49,10:05,9,11,1.3,42,61.9
763,Nick Sorensen\sorenni01,22,ANA,RW,5,43,50,46.2,-4.8,34,36,48.6,-0.5,3.6,92.9,96.4,52.4,47.6,10:53,9:51,0,0,-0.5,9,77.8
764,Nikita Soshnikov\soshnni01,23,TOR,RW,56,433,481,47.4,-2.5,326,341,48.9,-0.5,7.1,93.7,100.8,34.3,65.7,10:42,8:60,20,15,-0.3,133,52.6
765,Blake Speers\speerbl01,20,NJD,C,3,15,25,37.5,-8.5,15,16,48.4,2.3,0.0,100.0,100.0,58.3,41.7,9:29,8:18,1,0,0.3,3,100.0
766,Jason Spezza\spezzja01,33,DAL,C,68,917,885,50.9,-0.1,657,648,50.3,-1.4,9.6,87.4,96.9,52.4,47.6,16:10,13:13,32,49,-2.8,285,52.3
767,Ryan Spooner\spoonry01,25,BOS,C,78,885,739,54.5,-0.5,657,526,55.5,0.3,7.1,90.5,97.6,62.3,37.7,14:04,11:07,36,50,5.2,224,65.2
768,Ryan Sproul\sproury01,24,DET,D,27,274,330,45.4,-2.6,214,253,45.8,-3.3,6.4,90.6,96.9,60.4,39.6,15:09,12:57,5,7,-5.1,81,56.8
769,Jared Spurgeon\spurgja01,27,MIN,D,76,1417,1351,51.2,2.8,1086,1006,51.9,3.1,10.3,93.0,103.2,50.0,50.0,24:02,19:28,23,22,15.1,272,52.9
770,Eric Staal\staaler01,32,MIN,C,82,1229,1130,52.1,3.8,922,844,52.2,3.2,9.7,91.4,101.2,50.0,50.0,18:36,14:46,51,24,14.2,360,58.3
771,Jordan Staal\staaljo01,28,CAR,C,75,1172,916,56.1,6.8,887,702,55.8,7.6,7.6,90.4,98.0,49.2,50.8,18:40,14:45,55,42,10.2,273,60.1
772,Marc Staal\staalma01,30,NYR,D,72,1056,1208,46.6,-2.1,803,892,47.4,-2.5,9.2,92.6,101.8,43.0,57.0,19:11,17:07,22,47,-3.8,146,47.9
773,Drew Stafford\staffdr01,31,TOT,RW,58,588,631,48.2,-4.0,438,483,47.6,-4.5,9.0,93.9,103.0,52.3,47.7,13:33,11:55,13,28,-0.9,155,70.3
774,Matt Stajan\stajama01,33,CGY,C,81,688,723,48.8,-2.3,503,516,49.4,-1.0,8.3,92.1,100.4,34.8,65.2,12:41,10:45,30,22,-1.9,108,54.6
775,Viktor Stalberg\stalbvi01,31,TOT,LW,75,699,696,50.1,-1.2,508,529,49.0,-1.9,5.4,91.9,97.2,53.5,46.5,12:12,10:26,37,27,-1.6,181,55.8
776,Steven Stamkos\stamkst01,26,TBL,C,17,253,193,56.7,9.1,184,154,54.4,6.6,12.5,89.2,101.7,59.6,40.4,17:52,13:50,15,6,2.6,100,58.0
777,Paul Stastny\stastpa01,31,STL,C,66,875,860,50.4,0.1,647,622,51.0,0.8,10.2,90.7,100.9,46.2,53.8,19:08,14:55,24,9,0.5,172,65.1
778,Troy Stecher\stechtr01,22,VAN,D,71,1110,1135,49.4,2.4,820,902,47.6,1.7,8.1,91.0,99.1,51.2,48.8,19:59,17:12,26,33,-11.9,307,40.7
779,Alex Steen\steenal01,32,STL,LW,76,908,996,47.7,-3.1,679,710,48.9,-1.7,10.7,90.3,101.0,50.2,49.8,19:18,14:32,27,18,-0.4,228,51.3
780,Lee Stempniak\stemple01,33,CAR,RW,82,1074,1047,50.6,-0.8,738,807,47.8,-3.6,10.3,91.5,101.8,60.2,39.8,15:51,13:47,57,49,0.0,249,52.6
781,Derek Stepan\stepade01,26,NYR,C,81,1137,1104,50.7,3.7,853,784,52.1,4.1,9.0,93.0,102.0,52.5,47.5,18:37,14:38,51,56,9.1,334,62.6
782,Chandler Stephenson\stephch02,22,WSH,C,4,32,22,59.3,10.6,25,20,55.6,5.6,0.0,100.0,100.0,34.8,65.2,8:53,8:37,1,0,0.0,4,75.0
783,Chris Stewart\stewach02,29,MIN,RW,79,572,841,40.5,-10.7,424,631,40.2,-11.8,8.4,95.2,103.6,60.4,39.6,10:23,10:07,15,15,-8.9,133,61.7
