Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
810,Nate Thompson\thompna01,32,ANA,C,30,175,261,40.1,-11.7,130,204,38.9,-13.6,6.5,97.7,104.2,46.1,53.9,10:23,8:41,6,5,-1.2,34,55.9
811,Paul Thompson\thomppa02,28,FLA,RW,21,124,188,39.7,-12.5,98,136,41.9,-9.9,6.3,92.7,98.9,52.5,47.5,7:54,7:53,4,2,-3.9,30,63.3
812,Ben Thomson\thomsbe01,24,NJD,LW,3,29,23,55.8,1.1,24,19,55.8,1.7,0.0,77.8,77.8,50.0,50.0,10:53,10:53,0,1,-0.4,8,87.5
813,Chris Thorburn\thorbch01,33,WPG,RW,64,297,373,44.3,-4.9,201,251,44.5,-5.1,5.0,91.4,96.4,46.2,53.8,6:59,6:16,4,4,-3.0,63,57.1
814,Joe Thornton\thornjo01,37,SJS,C,79,1225,1047,53.9,3.7,882,740,54.4,3.2,9.4,90.9,100.3,54.1,45.9,18:05,14:47,63,74,11.8,146,56.2
815,Shawn Thornton\thornsh01,39,FLA,LW,50,254,385,39.7,-11.8,203,279,42.1,-8.5,4.0,93.8,97.8,42.7,57.3,7:41,7:32,8,8,-5.8,81,51.9
816,Chris Tierney\tiernch01,22,SJS,C,80,895,916,49.4,-2.3,638,649,49.6,-3.4,8.1,91.6,99.6,45.1,54.9,14:38,12:28,41,59,2.7,148,60.1
817,Matthew Tkachuk\tkachma01,19,CGY,LW,76,1025,808,55.9,7.4,751,599,55.6,7.6,9.2,91.5,100.7,35.7,64.3,14:40,12:33,40,27,4.9,232,61.2
818,Jonathan Toews\toewsjo01,28,CHI,C,72,1191,1084,52.4,2.4,844,823,50.6,0.1,9.7,92.5,102.1,55.4,44.6,20:09,16:09,37,37,-2.6,310,63.9
819,Tyler Toffoli\toffoty01,24,LAK,C,63,904,685,56.9,3.1,669,515,56.5,3.1,7.9,90.7,98.6,59.3,40.7,16:35,13:16,19,31,7.1,322,51.2
820,Sergey Tolchinsky\tolchse01,21,CAR,LW,2,29,28,50.9,4.0,25,24,51.0,5.6,5.6,94.1,99.7,40.0,60.0,11:29,11:25,0,0,-0.2,3,66.7
821,Jordin Tootoo\tootojo01,33,CHI,RW,50,307,319,49.0,0.1,213,222,49.0,0.4,3.2,93.2,96.4,47.6,52.4,6:45,6:41,9,9,2.1,81,53.1
822,Vincent Trocheck\trochvi01,23,FLA,C,82,1350,1144,54.1,5.4,1013,894,53.1,4.5,8.1,90.1,98.2,50.8,49.2,20:49,16:11,63,69,0.2,423,54.4
823,Corey Tropp\troppco01,27,ANA,RW,1,10,4,71.4,12.4,7,4,63.6,4.3,0.0,50.0,50.0,83.3,16.7,9:28,9:28,0,0,0.0,0,
824,Jacob Trouba\troubja01,22,WPG,D,60,1105,1119,49.7,0.0,849,837,50.4,0.5,9.4,91.5,100.8,47.8,52.2,24:57,20:12,36,62,-0.1,323,47.7
825,Nikita Tryamkin\tryamni01,22,VAN,D,66,853,920,48.1,-0.7,638,695,47.9,0.8,6.7,92.5,99.1,52.0,48.0,16:44,15:13,12,33,-6.8,162,40.1
826,Alex Tuch\tuchal01,20,MIN,RW,6,66,64,50.8,4.4,49,45,52.1,4.4,2.9,88.9,91.7,54.3,45.7,10:42,10:42,2,0,0.5,15,53.3
827,Kyle Turris\turriky01,27,OTT,C,78,1185,1261,48.4,0.0,853,930,47.8,-1.6,7.9,92.4,100.3,52.3,47.7,19:30,15:51,25,57,-7.0,350,52.9
828,T.J. Tynan\tynant.01,24,CBJ,RW,3,22,21,51.2,0.5,14,20,41.2,-8.0,0.0,92.9,92.9,37.5,62.5,7:29,7:29,0,0,-0.1,7,42.9
829,Fedor Tyutin\tyutife01,33,COL,D,69,876,997,46.8,-2.8,629,754,45.5,-3.1,7.3,89.5,96.8,41.4,58.6,18:56,16:13,15,19,-6.7,100,46.0
830,Scottie Upshall\upshasc01,33,STL,RW,73,496,616,44.6,-6.1,377,452,45.5,-5.7,7.8,92.0,99.8,23.3,76.7,10:59,9:09,16,18,-3.2,142,59.9
831,James van Riemsdyk\vanrija01,27,TOR,LW,82,1174,1070,52.3,2.4,871,860,50.3,0.6,9.3,90.6,99.9,57.1,42.9,15:49,13:24,37,23,2.1,391,60.9
832,Trevor van Riemsdyk\vanritr01,25,CHI,D,58,914,889,50.7,0.4,667,633,51.3,1.0,10.6,92.6,103.2,50.8,49.2,18:25,16:60,22,35,6.6,161,45.3
833,Chris VandeVelde\vandech01,29,PHI,C,81,584,678,46.3,-5.7,410,464,46.9,-5.4,5.9,93.2,99.1,45.6,54.4,11:34,9:01,14,12,-4.2,121,57.0
834,Thomas Vanek\vanekth01,33,TOT,LW,68,732,768,48.8,-0.5,582,625,48.2,-1.4,9.9,91.0,101.0,71.1,28.9,14:24,11:43,21,34,-4.5,216,61.6
835,Phil Varone\varonph01,26,OTT,C,7,38,57,40.0,-9.7,28,44,38.9,-12.2,0.0,91.7,91.7,59.3,40.7,7:57,6:44,3,4,-0.8,5,20.0
836,Sami Vatanen\vatansa01,25,ANA,D,71,1100,1151,48.9,-0.6,828,854,49.2,-0.7,8.0,93.1,101.1,44.7,55.3,21:40,16:37,15,39,1.0,252,46.4
837,Frank Vatrano\vatrafr01,22,BOS,C,44,544,404,57.4,3.1,420,304,58.0,3.0,5.7,91.0,96.7,66.8,33.2,13:24,11:29,9,8,2.9,194,59.8
838,Mike Vecchione\vecchmi01,23,PHI,RW,2,17,14,54.8,-3.0,11,11,50.0,-9.3,0.0,90.9,90.9,62.5,37.5,8:30,8:22,0,1,-0.4,2,50.0
839,Antoine Vermette\vermean01,34,ANA,C,72,841,892,48.5,-0.8,636,666,48.8,-0.8,7.6,91.7,99.4,43.7,56.3,15:54,13:03,14,28,1.8,162,54.3
840,Joel Vermin\vermijo01,24,TBL,RW,18,143,180,44.3,-10.0,109,127,46.2,-7.2,7.9,95.5,103.3,43.0,57.0,10:56,9:59,5,2,-1.5,25,48.0
841,Kris Versteeg\verstkr01,30,CGY,RW,69,689,751,47.8,-3.2,492,571,46.3,-4.8,8.1,93.1,101.3,56.8,43.2,14:44,12:08,38,31,-6.6,254,53.5
842,Jimmy Vesey\veseyji02,23,NYR,LW,80,779,956,44.9,-3.9,583,698,45.5,-4.4,7.8,91.3,99.2,48.8,51.2,13:38,12:00,44,34,-8.3,214,54.2
843,Linden Vey\veyli01,25,CGY,RW,4,32,26,55.2,-2.6,18,22,45.0,-10.6,0.0,87.5,87.5,68.4,31.6,11:01,9:09,0,2,0.1,5,20.0
844,Jake Virtanen\virtaja01,20,VAN,RW,10,73,90,44.8,-5.5,50,67,42.7,-7.4,3.1,100.0,103.1,48.6,51.4,10:09,9:47,4,0,-1.4,25,52.0
845,Marc-Edouard Vlasic\vlasima01,29,SJS,D,75,1109,1209,47.8,-5.4,808,820,49.6,-4.3,10.1,90.6,100.6,44.7,55.3,21:04,17:06,23,61,2.5,314,45.2
846,Jakub Voracek\voracja01,27,PHI,RW,82,1276,1167,52.2,1.5,934,858,52.1,0.7,8.0,88.8,96.8,53.3,46.7,19:04,15:28,24,56,0.6,470,53.2
847,Jakub Vrana\vranaja01,20,WSH,LW,21,215,173,55.4,3.0,150,127,54.2,2.1,5.1,96.9,101.9,58.3,41.7,11:07,9:18,4,9,0.2,56,57.1
848,Radim Vrbata\vrbatra01,35,ARI,RW,81,1025,1166,46.8,2.1,774,918,45.7,1.7,8.2,90.5,98.7,43.7,56.3,16:54,13:57,34,32,-14.1,408,56.9
849,Chris Wagner\wagnech01,25,ANA,C,43,235,315,42.7,-8.8,180,246,42.3,-9.7,7.0,95.0,102.1,51.8,48.2,9:21,7:53,4,13,-1.8,69,58.0
850,Lucas Wallmark\wallmlu01,21,CAR,C,8,75,79,48.7,-4.5,58,56,50.9,-1.9,7.3,94.1,101.4,55.9,44.1,10:52,10:43,3,1,1.0,19,57.9
851,Joel Ward\wardjo02,36,SJS,RW,78,987,966,50.5,-1.1,700,684,50.6,-2.1,7.9,91.6,99.5,49.3,50.7,15:50,13:14,34,52,0.8,210,50.0
852,David Warsofsky\warsoda01,26,PIT,D,7,103,108,48.8,-2.8,77,79,49.4,-3.0,7.1,88.9,96.0,62.9,37.1,15:44,14:00,2,3,-0.6,31,45.2
853,Austin Watson\watsoau01,25,NSH,LW,77,624,786,44.3,-8.9,464,540,46.2,-6.0,9.1,94.9,103.9,29.1,70.9,12:25,10:31,24,14,-3.7,154,58.4
854,Jordan Weal\wealjo01,24,PHI,C,23,315,249,55.9,6.5,236,180,56.7,6.6,8.9,91.1,100.1,61.1,38.9,14:19,12:44,14,6,6.3,73,67.1
855,Shea Weber\webersh01,31,MTL,D,78,1409,1338,51.3,-1.6,1016,939,52.0,-0.4,7.4,94.9,102.3,46.8,53.2,25:04,18:52,11,80,6.5,411,44.5
856,Yannick Weber\weberya01,28,NSH,D,73,752,825,47.7,-4.6,548,603,47.6,-4.3,8.2,92.0,100.2,57.1,42.9,11:55,11:32,9,27,-3.7,152,47.4
857,MacKenzie Weegar\weegama01,23,FLA,D,3,36,33,52.2,12.1,27,29,48.2,6.2,4.8,95.7,100.4,81.8,18.2,17:27,15:32,1,0,0.0,5,60.0
858,Dale Weise\weiseda01,28,PHI,RW,64,717,633,53.1,2.9,509,434,54.0,3.5,8.1,90.7,98.8,50.1,49.9,12:53,11:54,13,14,5.1,144,65.3
859,Alexander Wennberg\wennbal01,22,CBJ,C,80,1136,1065,51.6,1.6,855,801,51.6,1.6,8.5,92.4,101.0,59.3,40.7,18:23,15:06,44,31,3.0,186,58.6
860,Zach Werenski\werenza01,19,CBJ,D,78,1360,1155,54.1,6.2,989,853,53.7,5.3,8.7,92.4,101.1,55.4,44.6,20:55,17:21,27,40,5.7,384,49.0
861,Blake Wheeler\wheelbl01,30,WPG,RW,82,1329,1089,55.0,8.4,1004,811,55.3,8.6,9.6,88.9,98.5,52.6,47.4,20:09,15:46,39,44,16.6,419,61.8
862,Colin White\whiteco02,20,OTT,C,2,18,22,45.0,-18.0,8,16,33.3,-32.4,16.7,88.9,105.6,50.0,50.0,13:43,12:02,1,0,-0.1,2,50.0
863,Ryan White\whitery01,28,TOT,C,65,558,677,45.2,-3.6,420,520,44.7,-3.5,6.8,89.5,96.3,41.8,58.2,10:39,10:18,11,10,-8.3,103,58.3
864,Chris Wideman\widemch01,27,OTT,D,76,916,829,52.5,5.5,654,592,52.5,4.8,6.8,93.6,100.3,63.1,36.9,13:58,12:22,14,35,3.9,249,49.4
865,Dennis Wideman\widemde01,33,CGY,D,57,841,834,50.2,-0.8,596,631,48.6,-2.2,7.9,90.7,98.6,50.7,49.3,20:14,16:51,21,49,-0.4,191,45.5
866,Patrick Wiercioch\wiercpa01,26,COL,D,57,690,786,46.7,-2.2,507,611,45.3,-4.0,5.3,91.6,96.9,51.7,48.3,16:41,14:14,6,15,-11.2,137,46.0
867,Justin Williams\williju01,35,WSH,RW,80,1010,868,53.8,3.3,776,660,54.0,4.3,8.9,92.0,100.9,60.0,40.0,15:29,13:01,37,44,9.5,290,57.6
868,Colin Wilson\wilsoco01,27,NSH,LW,70,913,808,53.1,1.9,658,616,51.6,0.5,9.9,91.7,101.5,51.2,48.8,14:57,12:55,23,25,4.2,184,61.4
869,Scott Wilson\wilsosc01,24,PIT,LW,78,776,787,49.6,-0.2,595,559,51.6,0.9,8.0,91.5,99.5,41.6,58.4,10:57,10:33,20,11,7.2,214,59.3
870,Tom Wilson\wilsoto01,22,WSH,RW,82,738,753,49.5,-2.3,524,553,48.7,-2.8,8.7,93.7,102.4,40.5,59.5,12:56,10:49,36,21,4.0,166,57.2
871,Tommy Wingels\wingeto01,28,TOT,C,73,591,651,47.6,-3.4,434,446,49.3,-2.1,5.7,90.2,95.9,53.4,46.6,10:30,9:39,13,15,2.0,116,69.8
872,Daniel Winnik\winnida01,31,WSH,LW,72,608,617,49.6,-2.0,447,455,49.6,-1.9,9.4,94.7,104.1,39.9,60.1,12:55,10:21,30,30,-1.0,133,61.7
873,Luke Witkowski\witkolu01,26,TBL,D,34,309,317,49.4,-1.2,231,249,48.1,-2.3,5.9,93.9,99.8,45.2,54.8,9:52,9:47,3,8,1.1,42,57.1
874,Miles Wood\woodmi01,21,NJD,LW,60,483,685,41.4,-6.8,392,518,43.1,-5.0,5.7,91.0,96.7,44.8,55.2,12:51,11:25,16,14,-2.9,166,63.3
875,Tyler Wotherspoon\wothety01,23,CGY,D,4,33,38,46.5,-17.2,28,28,50.0,-13.4,0.0,88.9,88.9,61.3,38.7,10:54,10:54,1,4,0.2,8,50.0
876,Nail Yakupov\yakupna01,23,STL,RW,40,357,339,51.3,1.3,268,246,52.1,1.9,8.2,89.4,97.6,63.9,36.1,10:40,10:23,11,3,2.2,68,51.5
877,Keith Yandle\yandlke01,30,FLA,D,82,1352,1317,50.7,0.2,1017,1054,49.1,-1.6,7.2,92.5,99.7,56.2,43.8,22:02,17:16,24,76,-5.3,394,45.4
878,Pavel Zacha\zachapa01,19,NJD,C,70,640,709,47.4,-0.5,507,549,48.0,-0.5,4.6,92.6,97.2,52.2,47.8,14:27,11:49,16,26,-2.2,126,65.9
879,Nikita Zadorov\zadorni01,21,COL,D,56,770,854,47.4,-0.6,574,642,47.2,-0.7,5.7,91.0,96.7,44.3,55.7,19:02,16:03,12,25,-10.3,157,38.9
880,Nikita Zaitsev\zaitsni01,25,TOR,D,82,1495,1529,49.4,-1.8,1113,1172,48.7,-1.9,8.2,90.2,98.4,44.8,55.2,21:51,18:06,33,58,-4.4,303,35.0
881,Travis Zajac\zajactr01,31,NJD,C,80,1037,1047,49.8,3.6,792,806,49.6,2.8,8.4,90.4,98.8,45.6,54.4,19:35,14:44,44,25,1.5,195,64.6
882,Michael Zalewski\zalewmi01,24,VAN,LW,1,4,10,28.6,-10.7,4,7,36.4,-5.0,0.0,83.3,83.3,0.0,100.0,8:03,8:03,0,0,-0.6,1,0.0
883,Henrik Zetterberg\zettehe01,36,DET,LW,82,1237,1132,52.2,5.4,950,862,52.4,5.7,10.2,91.5,101.7,51.4,48.6,19:42,16:42,38,37,12.7,335,58.2
884,Mika Zibanejad\zibanmi01,23,NYR,C,56,726,728,49.9,2.4,567,538,51.3,3.2,11.5,91.8,103.3,53.8,46.2,17:04,13:55,36,31,2.7,225,52.4
885,Harry Zolnierczyk\zolniha01,29,NSH,LW,24,144,245,37.0,-14.1,100,174,36.5,-15.2,6.3,94.3,100.6,42.9,57.1,8:52,8:47,7,1,-3.4,32,59.4
886,Mats Zuccarello\zuccama01,29,NYR,RW,80,1214,1125,51.9,5.5,927,816,53.2,5.9,9.6,91.9,101.5,54.1,45.9,18:50,15:35,70,54,9.2,327,57.8
887,Jason Zucker\zuckeja01,25,MIN,LW,79,1043,1053,49.8,0.6,813,777,51.1,1.8,11.8,93.3,105.1,41.7,58.3,15:17,14:22,44,23,13.2,292,58.9
888,Valentin Zykov\zykovva01,21,CAR,LW,2,17,9,65.4,14.0,14,8,63.6,12.9,7.7,100.0,107.7,44.4,55.6,6:15,5:09,0,1,0.5,4,75.0
