player_name,games_played,goals,assists,pts,plus_minus,penalty_mins,shots_on_goal,game_winning_goals,power_play_goals,power_play_assists,short_handed_goals,short_handed_assists,hits,blocked_shots,cf,ca,c_pct,c_pct_rel,ff,fa,f_pct,f_pct_rel,sh_pct,sv_pct,pdo,off_zone_starts,def_zone_starts,takeaways,giveaways,ev_plus_minus,shot_attempts,shot_through_pct,games_played_z,goals_z,assists_z,pts_z,plus_minus_z,penalty_mins_z,shots_on_goal_z,game_winning_goals_z,power_play_goals_z,power_play_assists_z,short_handed_goals_z,short_handed_assists_z,hits_z,blocked_shots_z,cf_z,ca_z,c_pct_z,c_pct_rel_z,ff_z,fa_z,f_pct_z,f_pct_rel_z,sh_pct_z,sv_pct_z,pdo_z,off_zone_starts_z,def_zone_starts_z,takeaways_z,giveaways_z,ev_plus_minus_z,shot_attempts_z,shot_through_pct_z
Alex Ovechkin,81,51,38,89,7,40,338,5,18,10,0,0,223,41,1331.0,1379.0,49.1,-0.1,1006.0,1053.0,48.9,-0.3,12.9,89.2,102.1,56.9,43.1,47,70,-8.4,628,53.8,0.012900014191360462,0.053690168141836365,0.020067136978278683,0.0355076245048885,0.008893689182754492,0.00987111118583043,0.0422606739862011,0.02533026860150398,0.06665938185124877,0.015749366093081908,-0.004685487889194581,-0.005080809644324535,0.03535543437713336,0.00014204954716036326,0.016640610461760123,0.01872714120126137,-0.00035154709743289564,0.000682554919672573,0.017003689588200158,0.0194094160460534,-0.0008125925558211632,0.00017544572140444796,0.01829355840830995,-0.003660566592021707,0.005053076113450075,0.007598364655678365,-0.00759886761476226,0.016154155700929186,0.020996486008544583,-0.017181408134676668,0.0445329105708148,2.671632270064385e-05
Leon Draisaitl,82,50,55,105,2,52,231,5,16,13,3,0,57,26,1396.0,1446.0,49.1,1.5,1044.0,1108.0,48.5,0.8,12.4,88.9,101.3,53.2,46.8,71,116,-4.0,404,57.2,0.0131669065578635,0.05178793540493673,0.034023506946920856,0.043546289113966484,0.002869635271775848,0.01654000624328825,0.02377165565907602,0.025021362886851493,0.05779988386017498,0.02234046894355668,0.04843666581615057,-0.005018848551101065,-0.0014132676026856563,-0.004461878663676303,0.01810069506566944,0.020287656050480714,-0.0003472599377081043,0.004257899218913152,0.01809442728965659,0.02112447682206771,-0.0016322634440101007,0.002428618470805765,0.016270912631160657,-0.004215472545483739,0.0037906356102882753,0.003285228712982392,-0.003285811011607554,0.031233615801134,0.043389271315967065,-0.008195832464627269,0.022787045323304212,0.003181218106021031
John Tavares,82,47,41,88,19,34,286,8,10,9,0,0,59,53,1585.0,1386.0,53.3,2.5,1139.0,1086.0,51.2,1.6,12.4,90.5,102.8,51.8,48.2,53,72,16.9,485,59.0,0.0131669065578635,0.048045511638451346,0.022328490704670415,0.0345451244175962,0.022982655846891464,0.006356094550043643,0.03301044476166242,0.045487037183572145,0.03366014775956024,0.01329624455604427,-0.004628347792984891,-0.005018848551101065,-0.0009754659382766018,0.003822073955038371,0.02293624226429219,0.01868566086842122,0.009044785762151775,0.006497691806240896,0.021339676713669625,0.020343772433388554,0.0039674052921407745,0.0040688456208927935,0.016270912631160657,-0.0010178884950181367,0.006042168654781062,0.0016882929987320611,-0.0016889076385637315,0.01977626930188653,0.021725163475681732,0.03349038747250111,0.03045412237130777,0.0048514209489153946
Steven Stamkos,82,45,53,98,4,37,234,6,19,21,2,0,72,40,1195.0,1117.0,51.7,0.8,910.0,860.0,51.4,0.5,10.9,90.0,100.9,54.8,45.2,28,60,-0.4,425,55.1,0.0131669065578635,0.04555056246079442,0.032352790340885076,0.039839927180166955,0.005235872986495332,0.008053413165584411,0.024275589610126186,0.031843254319091706,0.06986975191048234,0.04042891771858151,0.030748327946438753,-0.005018848551101065,0.0018702448803822528,-0.0001664958243427682,0.012958128997292864,0.011503382468854496,0.005466863590776592,0.002690044407783731,0.013516917575785572,0.012323809167866321,0.004382195568892682,0.0018135332895231296,0.010872251826846065,-0.002017133510788641,0.003190226798423545,0.005110298100697043,-0.0051108434379433364,0.003863288052931697,0.01581677042833119,-0.0010154309443563506,0.024774806039453284,0.001232648122644268
Patrick Kane,81,44,66,110,2,22,341,7,9,21,0,0,21,18,1533.0,1540.0,49.9,0.6,1113.0,1188.0,48.4,-0.1,12.2,89.8,102.0,63.9,36.1,42,54,-12.8,581,58.7,0.012900014191360462,0.044850039574089,0.04374593529592155,0.0467639829705019,0.002905062867723698,-0.00043852781226905277,0.04277082934405436,0.03914249322974343,0.030002745550315298,0.04092804015955165,-0.004685487889194581,-0.005080809644324535,-0.009408434568987512,-0.00700177058950899,0.021872565768964205,0.023078898483884704,0.0014594999275841722,0.0022697659630381596,0.020703990880765508,0.0242592463393633,-0.001862370416736507,0.0005905649384017824,0.015743079970716056,-0.0024466689432338464,0.004901120796867032,0.015681619505587413,-0.015681958762267995,0.012932268139412405,0.01302137111335537,-0.02606580068787882,0.040029189347982046,0.004629511262858102
Alex DeBrincat,82,41,35,76,0,15,220,3,13,11,0,0,35,26,1174.0,1158.0,50.3,1.2,866.0,879.0,49.6,1.6,11.4,89.4,100.8,60.9,39.1,51,50,-4.4,404,54.5,0.0131669065578635,0.04056066410548058,0.01731634088656308,0.02819136110251128,0.0005033975570563636,-0.004393590015047889,0.021923897838558734,0.011377580022371056,0.045730015809867616,0.017818356749800476,-0.004628347792984891,-0.005018848551101065,-0.006229085911185257,-0.004461878663676303,0.012420845975223667,0.01259807917659515,0.002336181690823283,0.0035859614427148283,0.012013854684663743,0.012998053867180137,0.0006490830781254418,0.0040688456208927935,0.01267180542828426,-0.0032162275297132345,0.0030401245954573466,0.012068375141359174,-0.012068779563348534,0.01850323080197014,0.010893109555539066,-0.008993654855768482,0.022787045323304212,0.0006759138416794778
Cam Atkinson,80,41,28,69,3,20,295,8,8,6,4,0,27,25,1237.0,1152.0,51.8,2.4,974.0,880.0,52.5,2.2,11.3,88.0,99.3,67.1,32.9,47,45,4.2,486,60.5,0.012626449515694846,0.041574680708117595,0.011755553584573808,0.02509712414792954,0.00415407298236398,-0.0016038437972086075,0.035385302780183245,0.04662421311316145,0.02625390828583922,0.006675903172045212,0.06777812877800896,-0.0051443197648785915,-0.008179799883042013,-0.004887909016719415,0.014383512417467034,0.01274882664984893,0.005832745819649717,0.006430555361195824,0.01609577064376184,0.013359378941059465,0.00683013064330393,0.005431491383044517,0.012619692075696538,-0.006164466413217424,0.0008083063397386738,0.0196190319942223,-0.019619299720784716,0.016356082647190802,0.00864206109712158,0.00836351471761179,0.03131249708459298,0.006399338067610552
Connor McDavid,78,41,75,116,3,20,240,9,9,24,1,1,39,30,1466.0,1436.0,50.5,3.8,1110.0,1109.0,50.0,3.3,12.2,88.5,100.7,57.2,42.8,99,89,-0.7,422,56.6,0.012058276727773954,0.042640698162171885,0.05333224598201087,0.051902396365758136,0.004260587674219466,-0.0016449679971370333,0.026580045076956084,0.05499143777559761,0.0311566973022505,0.049633218625073035,0.01372973315758472,0.01388824619719289,-0.0056280201506936686,-0.003400504702013733,0.02091172249680095,0.021047357204930835,0.002926161550052634,0.009891956640011423,0.021392561196920835,0.0222450897126351,0.001554492535815388,0.007941729766870177,0.016348583046512828,-0.005272041304669393,0.003038228669029178,0.008250358704436677,-0.008250873722444312,0.05157185504611538,0.031638740136834924,-0.0016965565960564786,0.02574678074710982,0.0027590727391616885
Brayden Point,79,41,51,92,27,28,191,7,20,15,0,0,31,43,1259.0,1165.0,51.9,0.7,965.0,892.0,52.0,0.9,11.1,92.3,103.4,53.2,46.8,35,25,4.3,312,61.5,0.012345959152037697,0.042100942489233004,0.0318472157754132,0.03805531307411657,0.03367979430219103,0.0030739177234796545,0.017700100981806546,0.04013344242543314,0.07669910611858169,0.027882679155185528,-0.004804107835756469,-0.0052094377365859154,-0.007374487565573113,0.0007825741158504083,0.015149824854223896,0.013270484131508498,0.006138690084813614,0.002559713192685803,0.01598039477916967,0.013970494853121372,0.005840233477597108,0.0027336587708160103,0.01203227858137405,0.002677345215999559,0.0072064318171064755,0.003409984233728559,-0.0034105886449597392,0.00863483126349876,-0.0014698163970655897,0.008676411853510608,0.014613396747499256,0.007443469162118547
Nikita Kucherov,82,41,87,128,24,62,246,8,15,33,0,0,44,31,1436.0,1295.0,52.6,2.2,1101.0,989.0,52.7,2.5,11.8,90.8,102.7,57.3,42.7,58,89,7.7,490,50.2,0.0131669065578635,0.04056066410548058,0.060754972643493305,0.055724335467879235,0.02889825013369018,0.02219773496175748,0.02629132541432685,0.045487037183572145,0.05377659451007252,0.06756159088111874,-0.004628347792984891,-0.005018848551101065,-0.004258978421344511,-0.0029278133639143262,0.019124091298182194,0.01625596817563099,0.007479444812175135,0.005825754030042573,0.020041576944064412,0.016901575810575914,0.007078332367780146,0.005914101164740701,0.01411144830943482,-0.0004183414855558399,0.005892066451814885,0.007961969019001194,-0.007962456604093008,0.02295886555167749,0.030095386959428344,0.015140472476253214,0.030927398732295646,-0.003314015171901507
