Rank,Player,Positions,Team
175,Jesse Puljujarvi,RW,EDM
176,Matt Dumba,D,MIN
177,Alexandar Georgiev,G,NYR
178,Zach Parise,LW,MIN
179,Zach Hyman,C/LW,TOR
180,Devan Dubnyk,G,SJS
181,Jacob Trouba,D,NYR
182,Ryan Pulock,D,NYI
183,Joe Pavelski,C/RW,DAL (DTD)
184,Brandon Saad,LW/RW,COL
185,Matt Murray,G,OTT
186,Ryan Getzlaf,C,ANA
187,Clayton Keller,LW/RW,ARI
188,Kevin Hayes,C,PHI
189,Kaapo Kakko,RW,NYR
190,Rasmus Ristolainen,D,BUF
191,Oliver Ekman-Larsson,D,ARI
192,Jean-Gabriel Pageau,C,NYI
193,Jake Muzzin,D,TOR
194,Jared Spurgeon,D,MIN
195,John Gibson,G,ANA
196,Jonathan Quick,G,LAK
197,Samuel Girard,D,COL
198,Mackenzie Blackwood,G,NJD
199,Cody Glass,C/RW,VGK
200,Nico Hischier,C,NJD
201,Josh Bailey,LW/RW,NYI
202,Matt Duchene,C/RW,NSH
203,Jack Hughes,C/LW,NJD
204,Quinton Byfield,C,LAK
205,Tim Stuetzle,LW,OTT
206,Rickard Rakell,LW/RW,ANA
207,Joel Kiviranta,RW,DAL
208,Nicholas Robertson,LW,TOR
209,Dominik Kahun,LW/RW,EDM
210,Duncan Keith,D,CHI
211,Darnell Nurse,D,EDM
212,Roope Hintz,C/LW,DAL
213,Devon Toews,D,COL
214,Jeff Skinner,LW,BUF
215,Mattias Ekholm,D,NSH
216,Jake Allen,G,MTL
217,Alex Killorn,LW/RW,TBL
218,Justin Schultz,D,WSH
219,Joel Armia,RW,MTL
220,Alec Martinez,D,VGK
221,Josh Morrissey,D,WPG
222,James Reimer,G,CAR
223,Jordan Eberle,RW,NYI
224,Paul Stastny,C,WPG
225,Eric Staal,C,BUF
226,Josh Anderson,RW,MTL
227,Linus Ullmark,G,BUF
228,Alex Iafallo,LW,LAK
229,Alexander Edler,D,VAN
230,Jonathan Drouin,C/LW,MTL
231,Martin Necas,C/RW,CAR
232,Anthony Duclair,LW/RW,FLA
233,Anthony Cirelli,C,TBL
234,Filip Hronek,D,DET
235,Vince Dunn,D,STL
236,Joel Farabee,LW/RW,PHI
237,Ville Heinola,D,WPG
238,Jakob Chychrun,D,ARI
239,Mikael Backlund,C/RW,CGY
240,Craig Smith,RW,BOS
241,Ryan Graves,D,COL
242,Kevin Shattenkirk,D,ANA
243,Dustin Brown,RW,LAK
244,Matt Grzelcyk,D,BOS
245,Grigori Denisenko,LW,FLA
246,Kaapo Kahkonen,G,MIN
247,Marco Rossi,C,MIN
248,Rasmus Sandin,D,TOR
249,Calvin Petersen,G,LAK
250,Trevor Zegras,C,ANA
