,fantasy_pro,nhl.com,yahoo,dobber_hockey,average_ranking,highest_ranking,lowest_ranking
Andrei Vasilevskiy,11.0,12.0,14.0,7.0,11.0,7.0,14.0
Brad Marchand,17.0,15.0,7.0,18.0,14.25,7.0,18.0
Elias Pettersson,16.0,16.0,13.0,15.0,15.0,13.0,16.0
Andrei Svechnikov,24.0,18.0,11.0,12.0,16.25,11.0,24.0
Mika Zibanejad,22.0,17.0,15.0,13.0,16.75,13.0,22.0
Mikko Rantanen,35.0,11.0,9.0,14.0,17.25,9.0,35.0
John Carlson,7.0,22.0,19.0,22.0,17.5,7.0,22.0
Mitchell Marner,18.0,14.0,21.0,17.0,17.5,14.0,21.0
Brayden Point,21.0,13.0,18.0,21.0,18.25,13.0,21.0
Connor Hellebuyck,20.0,26.0,29.0,16.0,22.75,16.0,29.0
Victor Hedman,12.0,37.0,23.0,23.0,23.75,12.0,37.0
Evgeni Malkin,28.0,20.0,24.0,24.0,24.0,20.0,28.0
Jonathan Huberdeau,15.0,19.0,38.0,25.0,24.25,15.0,38.0
Tuukka Rask,19.0,30.0,26.0,34.0,27.25,19.0,34.0
Jake Guentzel,23.0,38.0,32.0,19.0,28.0,19.0,38.0
John Tavares,27.0,24.0,40.0,26.0,29.25,24.0,40.0
Matthew Tkachuk,32.0,31.0,27.0,27.0,29.25,27.0,32.0
Roman Josi,10.0,43.0,34.0,32.0,29.75,10.0,43.0
Steven Stamkos,26.0,29.0,42.0,28.0,31.25,26.0,42.0
David Pastrnak,43.0,21.0,17.0,46.0,31.75,17.0,46.0
Robin Lehner,42.0,28.0,25.0,37.0,33.0,25.0,42.0
Patrik Laine,25.0,54.0,36.0,20.0,33.75,20.0,54.0
Mark Scheifele,29.0,27.0,37.0,45.0,34.5,27.0,45.0
Aleksander Barkov,30.0,23.0,41.0,44.0,34.5,23.0,44.0
Gabriel Landeskog,47.0,34.0,31.0,31.0,35.75,31.0,47.0
Patrice Bergeron,45.0,33.0,30.0,39.0,36.75,30.0,45.0
Dougie Hamilton,34.0,40.0,33.0,41.0,37.0,33.0,41.0
Cale Makar,56.0,25.0,20.0,49.0,37.5,20.0,56.0
Carter Hart,52.0,45.0,28.0,30.0,38.75,28.0,52.0
Blake Wheeler,31.0,41.0,56.0,35.0,40.75,31.0,56.0
Taylor Hall,37.0,36.0,48.0,54.0,43.75,36.0,54.0
Mark Stone,48.0,32.0,53.0,42.0,43.75,32.0,53.0
Quinn Hughes,57.0,35.0,22.0,61.0,43.75,22.0,61.0
J.T. Miller,36.0,73.0,35.0,33.0,44.25,33.0,73.0
Johnny Gaudreau,46.0,39.0,49.0,47.0,45.25,39.0,49.0
Igor Shesterkin,40.0,42.0,43.0,58.0,45.75,40.0,58.0
Max Pacioretty,44.0,63.0,51.0,29.0,46.75,29.0,63.0
Jordan Binnington,41.0,50.0,64.0,40.0,48.75,40.0,64.0
Teuvo Teravainen,51.0,51.0,58.0,43.0,50.75,43.0,58.0
Brady Tkachuk,33.0,84.0,52.0,36.0,51.25,33.0,84.0
Carey Price,68.0,44.0,46.0,51.0,52.25,44.0,68.0
Brent Burns,49.0,48.0,60.0,53.0,52.5,48.0,60.0
Ilya Samsonov,66.0,56.0,50.0,38.0,52.5,38.0,66.0
Frederik Andersen,67.0,47.0,45.0,52.0,52.75,45.0,67.0
Kyle Connor,39.0,70.0,39.0,72.0,55.0,39.0,72.0
Morgan Rielly,55.0,46.0,47.0,76.0,56.0,46.0,76.0
Philipp Grubauer,58.0,49.0,54.0,66.0,56.75,49.0,66.0
Sean Couturier,60.0,55.0,67.0,48.0,57.5,48.0,67.0
Alex Pietrangelo,54.0,71.0,44.0,67.0,59.0,44.0,71.0
Evgeny Kuznetsov,72.0,52.0,59.0,56.0,59.75,52.0,72.0
Ryan O'Reilly,84.0,61.0,57.0,50.0,63.0,50.0,84.0
Torey Krug,63.0,58.0,55.0,77.0,63.25,55.0,77.0
Claude Giroux,71.0,53.0,71.0,62.0,64.25,53.0,71.0
Kris Letang,38.0,66.0,77.0,82.0,65.75,38.0,82.0
Tom Wilson,53.0,91.0,74.0,57.0,68.75,53.0,91.0
Filip Forsberg,73.0,64.0,84.0,63.0,71.0,63.0,84.0
Erik Karlsson,62.0,67.0,69.0,90.0,72.0,62.0,90.0
