,fantasy_pro,nhl.com,yahoo,dobber_hockey,average_ranking,highest_ranking,lowest_ranking
Ondrej Palat,202.0,118.0,159.0,,159.66666666666666,118.0,
Oliver Ekman-Larsson,162.0,191.0,132.0,,161.66666666666666,132.0,
Nico Hischier,135.0,200.0,153.0,,162.66666666666666,135.0,
Brock Nelson,165.0,172.0,152.0,,163.0,152.0,
Ben Bishop,220.0,107.0,,,163.5,107.0,
Zach Parise,133.0,178.0,182.0,,164.33333333333334,133.0,
Ilya Sorokin,182.0,139.0,176.0,,165.66666666666666,139.0,
Ryan Strome,223.0,163.0,119.0,,168.33333333333334,119.0,
Jeff Skinner,127.0,214.0,164.0,,168.33333333333334,127.0,
Mikhail Sergachev,180.0,150.0,179.0,,169.66666666666666,150.0,
Lawson Crouse,170.0,,,,170.0,170.0,
Jack Hughes,168.0,203.0,142.0,,171.0,142.0,
Ryan Ellis,188.0,148.0,177.0,,171.0,148.0,
John Gibson,151.0,195.0,169.0,,171.66666666666666,151.0,
Ryan Pulock,206.0,182.0,127.0,,171.66666666666666,127.0,
Josh Anderson,161.0,226.0,129.0,,172.0,129.0,
Nick Suzuki,215.0,129.0,,,172.0,129.0,
Matt Murray,131.0,185.0,201.0,,172.33333333333334,131.0,
Denis Gurianov,209.0,117.0,191.0,,172.33333333333334,117.0,
David Krejci,141.0,170.0,209.0,,173.33333333333334,141.0,
Phil Kessel,140.0,207.0,,,173.5,140.0,
Oliver Bjorkstrand,219.0,130.0,174.0,,174.33333333333334,130.0,
Kevin Hayes,148.0,188.0,188.0,,174.66666666666666,148.0,
Tyler Seguin,130.0,220.0,,,175.0,130.0,
Mathew Dumba,157.0,195.0,,,176.0,157.0,
Matt Dumba,176.0,,,,176.0,176.0,
Ryan Johansen,155.0,198.0,,,176.5,155.0,
Colton Parayko,191.0,158.0,181.0,,176.66666666666666,158.0,
Pavel Buchnevich,156.0,165.0,211.0,,177.33333333333334,156.0,
Nicholas Suzuki,178.0,,,,178.0,178.0,
Nikita Kucherov,181.0,,,,181.0,181.0,
Rickard Rakell,169.0,206.0,172.0,,182.33333333333334,169.0,
Blake Coleman,288.0,78.0,,,183.0,78.0,
Tyler Toffoli,237.0,161.0,156.0,,184.66666666666666,156.0,
Paul Stastny,125.0,224.0,205.0,,184.66666666666666,125.0,
Joe Pavelski,142.0,183.0,232.0,,185.66666666666666,142.0,
Ryan Suter,208.0,159.0,190.0,,185.66666666666666,159.0,
Clayton Keller,166.0,187.0,204.0,,185.66666666666666,166.0,
Jason Zucker,224.0,149.0,187.0,,186.66666666666666,149.0,
Jacob Trouba,200.0,181.0,180.0,,187.0,180.0,
Eric Staal,164.0,225.0,173.0,,187.33333333333334,164.0,
Darnell Nurse,203.0,211.0,148.0,,187.33333333333334,148.0,
Devan Dubnyk,175.0,180.0,210.0,,188.33333333333334,175.0,
Dustin Brown,207.0,243.0,116.0,,188.66666666666666,116.0,
Nikita Gusev,210.0,160.0,197.0,,189.0,160.0,
Aaron Ekblad,222.0,167.0,193.0,,194.0,167.0,
Alex Tuch,196.0,156.0,233.0,,195.0,156.0,
Ryan Getzlaf,149.0,186.0,250.0,,195.0,149.0,
Henrik Lundqvist,195.0,,,,195.0,195.0,
Josh Bailey,174.0,201.0,213.0,,196.0,174.0,
Zach Hyman,244.0,179.0,167.0,,196.66666666666666,167.0,
Jake Muzzin,184.0,193.0,225.0,,200.66666666666666,184.0,
Kaapo Kakko,199.0,189.0,216.0,,201.33333333333334,189.0,
Ryan Reaves,202.0,,,,202.0,202.0,
Phillip Danault,252.0,154.0,,,203.0,154.0,
Jake DeBrusk,189.0,157.0,264.0,,203.33333333333334,157.0,
Vincent Trocheck,201.0,206.0,,,203.5,201.0,
James Van Riemsdyk,170.0,238.0,,,204.0,170.0,
Cam Talbot,216.0,174.0,223.0,,204.33333333333334,174.0,
Tim Stuetzle,205.0,,,,205.0,205.0,
Dylan Strome,186.0,228.0,,,207.0,186.0,
Anthony Cirelli,248.0,233.0,143.0,,208.0,143.0,
Tyler Bertuzzi,226.0,196.0,,,211.0,196.0,
Alexandar Georgiev,242.0,177.0,218.0,,212.33333333333334,177.0,
Nate Schmidt,250.0,168.0,221.0,,213.0,168.0,
Jordan Staal,221.0,208.0,,,214.5,208.0,
Corey Crawford,218.0,214.0,,,216.0,214.0,
Mikael Granlund,187.0,246.0,,,216.5,187.0,
Alex Killorn,217.0,,,,217.0,217.0,
Mackenzie Blackwood,241.0,198.0,212.0,,217.0,198.0,
Andrew Shaw,153.0,281.0,,,217.0,153.0,
Jaccob Slavin,253.0,164.0,240.0,,219.0,164.0,
Anthony Beauvillier,254.0,171.0,235.0,,220.0,171.0,
Mikko Koskinen,240.0,200.0,,,220.0,200.0,
Jonathan Drouin,197.0,230.0,234.0,,220.33333333333334,197.0,
Kasperi Kapanen,251.0,173.0,237.0,,220.33333333333334,173.0,
William Carrier,222.0,,,,222.0,222.0,
Mikael Backlund,228.0,239.0,203.0,,223.33333333333334,203.0,
Alex Galchenyuk,159.0,288.0,,,223.5,159.0,
Roope Hintz,243.0,212.0,219.0,,224.66666666666666,212.0,
Jean-Gabriel Pageau,277.0,192.0,217.0,,228.66666666666666,192.0,
Alexander Edler,185.0,229.0,272.0,,228.66666666666666,185.0,
