Rank,Player,Team,Positions
185,Alexander Edler,VAN,D
186,Dylan Strome,CHI,C
187,Mikael Granlund,NSH,LW
188,Ryan Ellis,NSH,D
189,Jake DeBrusk,BOS,LW
190,Andreas Athanasiou,EDM,C
191,Colton Parayko,STL,D
192,Kailer Yamamoto,EDM,C
193,Bryan Rust,PIT,LW
194,Nikolaj Ehlers,WPG,LW
195,Henrik Lundqvist,NYR,G
196,Alex Tuch,VGK,RW
197,Jonathan Drouin,MTL,LW
198,Mats Zuccarello,MIN,RW
199,Kaapo Kakko,NYR,RW
200,Jacob Trouba,NYR,D
201,Vincent Trocheck,CAR,C
202,Ondrej Palat,TB,LW
203,Darnell Nurse,EDM,D
204,Pekka Rinne,NSH,G
205,David Rittich,CGY,G
206,Ryan Pulock,NYI,D
207,Dustin Brown,LA,LW
208,Ryan Suter,MIN,D
209,Denis Gurianov,DAL,RW
210,Nikita Gusev,NJ,LW
211,Nino Niederreiter,CAR,LW
212,Martin Jones,SJ,G
213,Ryan Dzingel,CAR,LW
214,Erik Gustafsson,FA,D
215,Nick Suzuki,MTL,C
216,Cam Talbot,CGY,G
217,Patric Hornqvist,PIT,RW
218,Corey Crawford,CHI,G
219,Oliver Bjorkstrand,CBJ,RW
220,Ben Bishop,DAL,G
221,Jordan Staal,CAR,C
222,Aaron Ekblad,FLA,D
223,Ryan Strome,NYR,RW
224,Jason Zucker,PIT,LW
225,Andreas Johnsson,TOR,LW
226,Tyler Bertuzzi,DET,LW
227,Cory Schneider,NJ,G
228,Mikael Backlund,CGY,C
229,Gustav Nyquist,CBJ,LW
230,Carter Verhaeghe,TB,NA
231,Jesper Bratt,NJ,RW
232,Cody Glass,FA,C
233,Kevin Labanc,SJ,LW
234,Jordan Eberle,NYI,RW
235,P.K. Subban,NJ,D
236,Erik Haula,FLA,C
237,Tyler Toffoli,VAN,C
238,Dmytro Timashov,DET,RW
239,Ondrej Kase,BOS,RW
240,Mikko Koskinen,EDM,G
241,Mackenzie Blackwood,FA,G
242,Alexandar Georgiev,NYR,G
243,Roope Hintz,DAL,LW
244,Zach Hyman,TOR,C
245,Carter Hutton,BUF,G
246,Jared Spurgeon,MIN,D
247,Joe Thornton,SJ,C
248,Anthony Cirelli,TB,C
249,Jakob Silfverberg,ANA,RW
250,Nate Schmidt,VGK,D
251,Kasperi Kapanen,TOR,RW
252,Phillip Danault,MTL,C
253,Jaccob Slavin,CAR,D
254,Anthony Beauvillier,NYI,LW
255,Jonathan Quick,LA,G
256,Mike Smith,EDM,G
257,Shayne Gostisbehere,PHI,D
258,Kevin Shattenkirk,TB,D
259,Manuel Wiederer,FA,C
260,Alex Chiasson,EDM,RW
261,Nick Ritchie,BOS,LW
262,Richard Panik,WSH,LW
263,Jake Allen,STL,G
264,Brandon Saad,CHI,LW
265,Jimmy Howard,DET,G
266,Jesse Puljujarvi,FA,RW
267,Travis Zajac,NJ,C
268,Erik Gustafsson,CGY,D
269,Mattias Ekholm,NSH,D
270,Filip Hronek,DET,D
271,Ryan Poehling,MTL,LW
272,Yanni Gourde,TB,LW
273,Joel Kiviranta,DAL,LW
274,Samuel Girard,COL,D
275,Nicholas Robertson,TOR,LW
276,Nick Shore,WPG,C
277,Jean-Gabriel Pageau,NYI,C
278,Josh Morrissey,WPG,D
279,Micheal Ferland,VAN,LW
280,Tyler Johnson,TB,LW
281,James Reimer,CAR,G
282,Quinton Byfield,LA,C
283,Tim Stutzle,OTT,C
284,Colin Campbell,FA,RW
285,Craig Anderson,OTT,G
286,Devon Toews,NYI,D
287,Alexander Nylander,CHI,LW
288,Blake Coleman,TB,LW
289,Duncan Keith,CHI,D
290,Linus Ullmark,BUF,G
291,Nick Schmaltz,ARI,C
292,Martin Necas,CAR,C
293,Boone Jenner,CBJ,C
294,Mikko Koivu,MIN,C
295,Alec Martinez,VGK,D
296,Erik Foley,FA,LW
297,Justin Schultz,PIT,D
298,Craig Smith,NSH,RW
299,Oscar Klefbom,EDM,D
300,Cory Conacher,FA,LW
301,Joel Armia,MTL,RW
302,Vince Dunn,STL,D
303,Jakob Chychrun,ARI,D
304,Alex Iafallo,LA,C
305,Derek Stepan,ARI,C
306,Alexander Killorn,TB,C
307,Matt Grzelcyk,BOS,D
308,Dominik Kahun,BUF,C
309,Andrew Mangiapane,CGY,LW
310,Antti Raanta,ARI,G
311,Trevor Zegras,ANA,C
312,Justin Faulk,STL,D
313,Thomas Greiss,NYI,G
314,Radko Gudas,WSH,D
315,Ryan Graves,COL,D
316,Anthony Duclair,OTT,LW
317,Malcolm Subban,CHI,G
318,Joel Farabee,PHI,LW
319,Ville Heinola,FA,D
320,Marcus Johansson,BUF,LW
321,Alex Turcotte,LA,C
322,Calvin Petersen,LA,G
323,Grigori Denisenko,FA,LW
324,Kaapo Kahkonen,MIN,G
325,Marco Rossi,MIN,C
326,Drake Batherson,FA,C
327,Rasmus Sandin,TOR,D
328,Alexandre Texier,CBJ,C
329,Tanner Pearson,VAN,LW
330,Mike Green,EDM,D
331,Erik Cernak,TB,D
332,Brandon Montour,BUF,D
333,Colin White,OTT,C
334,Barrett Hayton,ARI,C
335,Gabriel Vilardi,LA,C
336,Ryan Donato,MIN,LW
337,Frank Vatrano,FLA,LW
338,Colin Miller,BUF,D
339,Maxime Comtois,FA,LW
340,Jake Gardiner,CAR,D
341,Filip Zadina,DET,LW
342,Jack Roslovic,WPG,C
343,Zack Kassian,EDM,RW
344,Cam Fowler,ANA,D
345,Adam Henrique,ANA,C
346,Jeff Carter,LA,C
347,Jordan Weal,MTL,C
348,Vitali Kravtsov,NYR,RW
349,Alexander True,SJ,C
350,Alex Goligoski,ARI,D
351,Jesperi Kotkaniemi,MTL,C
352,Owen Tippett,FLA,RW
353,Christian Dvorak,ARI,C
354,Chris McCarthy,FA,C
355,Wayne Simmonds,BUF,RW
356,Alex Stalock,MIN,G
357,Buddy Robinson,CGY,RW
358,Ryan McDonagh,TB,D
359,Kirby Dach,CHI,C
360,T.J. Brodie,CGY,D
361,Nick Bjugstad,PIT,C
362,Sam Steel,ANA,C
363,Esa Lindell,DAL,D
364,Mathieu Perreault,WPG,C
365,Josh Norris,FA,C
366,Charlie Coyle,BOS,C
367,Liam Foudy,CBJ,C
368,Martin Kaut,FA,RW
369,Evan Bouchard,EDM,D
370,Connor McMichael,WSH,C
371,Ty Smith,FA,D
372,Alexander Volkov,TB,LW
373,Bowen Byram,COL,D
374,Jake Bean,CAR,D
375,Alexander Romanov,MTL,D
376,Morgan Frost,PHI,C
377,James Neal,EDM,RW
378,Dylan Cozens,FA,C
379,Erik Brannstrom,FA,D
380,Oliver Wahlstrom,FA,C
381,Adam Gaudette,VAN,LW
382,Tyler Benson,EDM,LW
383,Robby Fabbri,DET,C
384,Damon Severson,NJ,D
385,Zach Sanford,STL,C
386,Jack Studnicka,BOS,C
387,Filip Chytil,NYR,LW
388,Tyler Ennis,EDM,C
389,Joonas Donskoi,COL,RW
390,Ilya Mikheyev,TOR,RW
391,Troy Terry,ANA,RW
392,Lucas Raymond,DET,LW
393,Jordan Kyrou,STL,C
394,Alex Formenton,FA,LW
395,Moritz Seider,FA,D
396,Martin Frk,LA,RW
397,Nick Foligno,CBJ,LW
398,Sami Vatanen,CAR,D
399,Luke Kunin,MIN,C
400,Nolan Patrick,PHI,C
401,Eeli Tolvanen,NSH,LW
402,Jack Quinn,BUF,C
403,Danton Heinen,ANA,C
404,Oskar Lindblom,PHI,RW
405,Erik Johnson,COL,D
406,Connor Brown,OTT,RW
407,Will Butcher,NJ,D
408,Victor Soderstrom,ARI,D
409,Vladislav Namestnikov,COL,C
410,Nicolas Aube-Kubel,PHI,RW
411,Collin Delia,CHI,G
412,Phillip Tomasino,FA,C
413,Curtis McElhinney,TB,G
414,Corey Perry,DAL,RW
415,Thomas Harley,DAL,D



