Rank,Player,Team,Positions
176,Ilya Sorokin,NYI,G
177,Ryan Ellis,NSH,D
178,Nicholas Suzuki,MTL,C
179,Mikhail Sergachev,TB,D
180,Jacob Trouba,NYR,D
181,Colton Parayko,STL,D
182,Zach Parise,MIN,LW F
183,Semyon Varlamov,NYI,G
184,Jakub Voracek,PHI,LW RW F
185,Alex Stalock,MIN,G
186,Andre Burakovsky,COL,LW F
187,Jason Zucker,PIT,LW RW
188,Kevin Hayes,PHI,C
189,Craig Smith,NSH,RW F
190,Ryan Suter,MIN,D
191,Denis Gurianov,DAL,RW
192,Drew Doughty,LA,D
193,Aaron Ekblad,FLA,D
194,Tanner Pearson,VAN,LW F
195,Mathew Dumba,MIN,D
196,Tyler Bertuzzi,DET,LW
197,Nikita Gusev,NJ,LW
198,Ryan Johansen,NSH,C F
199,Ryan Graves,COL,D
200,Mikko Koskinen,EDM,G
201,Matt Murray,PIT,G
202,Ryan Reaves,VGK,RW F
203,Mikael Backlund,CGY,C F
204,Clayton Keller,ARI,LW RW
205,Paul Stastny,VGK,C F
206,Vincent Trocheck,CAR,C F
207,Phil Kessel,ARI,RW F
208,Jordan Staal,CAR,C LW F
209,David Krejci,BOS,C F
210,Devan Dubnyk,MIN,G
211,Pavel Buchnevich,NYR,LW F
212,Mackenzie Blackwood,FA,G
213,Josh Bailey,NYI,RW F
214,Corey Crawford,CHI,G
215,Alexander Killorn,TB,C LW F
216,Kaapo Kakko,NYR,RW
217,Jean-Gabriel Pageau,NYI,C F
218,Alexandar Georgiev,NYR,G
219,Roope Hintz,DAL,LW
220,Tyler Seguin,DAL,C F
221,Nate Schmidt,VGK,D
222,William Carrier,VGK,LW
223,Cam Talbot,CGY,G
224,Boone Jenner,CBJ,C LW F
225,Jake Muzzin,TOR,D
226,Joel Kiviranta,DAL,LW
227,Erik Cernak,TB,D
228,Dylan Strome,CHI,C F
229,Nicholas Robertson,TOR,LW
230,Joel Armia,MTL,RW F
231,Kevin Shattenkirk,TB,D
232,Joe Pavelski,DAL,C RW F
233,Alex Tuch,VGK,RW
234,Jonathan Drouin,MTL,LW F
235,Anthony Beauvillier,NYI,LW F
236,Marcus Foligno,MIN,LW F
237,Kasperi Kapanen,TOR,RW F
238,James Van Riemsdyk,PHI,LW F
239,Brandon Saad,CHI,LW RW F
240,Jaccob Slavin,CAR,D
241,Milan Lucic,CGY,LW F
242,Charlie Coyle,BOS,C RW F
243,Frank Vatrano,FLA,LW  RW
244,Filip Hronek,DET,D
245,Andrew Mangiapane,CGY,LW
246,Mikael Granlund,NSH,LW RW
247,Nick Schmaltz,ARI,C F
248,Nick Bjugstad,PIT,C F
249,Tyler Johnson,TB,LW RW
250,Ryan Getzlaf,ANA,C F
251,Jared Spurgeon,MIN,D
252,Jordan Eberle,NYI,RW F
253,Samuel Girard,COL,D
254,Jake Allen,STL,G
255,Adam Henrique,ANA,C F
256,Yanni Gourde,TB,LW F
257,Carl Soderberg,ARI,C F
258,Tim Stutzle,OTT,C LW
259,Artturi Lehkonen,MTL,LW
260,Jared McCann,PIT,C F
261,Quinton Byfield,LA,C
262,Jonathan Quick,LA,G
263,Mattias Ekholm,NSH,D
264,Jake DeBrusk,BOS,LW RW
265,Conor Garland,ARI,RW
266,Cody Glass,FA,C
267,Jesse Puljujarvi,FA,RW F
268,Andreas Johnsson,TOR,LW
269,Kevin Labanc,SJ,LW RW
270,Anthony Duclair,OTT,LW RW F
271,Devon Toews,NYI,D
272,Alexander Edler,VAN,D
